,iso_code,country,date,people_vaccinated,daily_vaccinations,people_vaccinated_per_hundred
0,GIB,Gibraltar,2022-03-24,42034.0,1068.0,124.76
1,NIU,Niue,2022-03-13,1650.0,87.0,102.23
2,PCN,Pitcairn,2021-09-07,47.0,1.0,100.0
3,ARE,United Arab Emirates,2022-03-29,9890318.0,155312.0,98.99
4,PRT,Portugal,2022-03-10,9663542.0,150867.0,95.04
5,CUB,Cuba,2022-03-27,10630665.0,321878.0,93.93
6,CHL,Chile,2022-03-22,17859475.0,298740.0,92.96
7,BRN,Brunei,2022-03-18,407945.0,7901.0,92.39
8,SGP,Singapore,2022-03-28,5005722.0,78336.0,91.79
9,MLT,Malta,2022-03-28,473639.0,8191.0,91.77
10,CYM,Cayman Islands,2022-03-25,60364.0,1024.0,90.78
11,ARG,Argentina,2022-03-29,40907186.0,448254.0,89.7
12,QAT,Qatar,2022-03-29,2593517.0,37344.0,88.5
13,CHN,China,2022-03-29,1275541000.0,22424286.0,88.32
14,BTN,Bhutan,2022-03-20,687549.0,91636.0,88.16
15,MAC,Macao,2022-03-28,579965.0,6788.0,88.09
16,ESP,Spain,2022-03-23,41134037.0,670109.0,88.0
17,KOR,South Korea,2022-03-29,44948629.0,880695.0,87.61
18,KHM,Cambodia,2022-03-28,14814942.0,289014.0,87.42
19,WSM,Samoa,2022-03-21,173862.0,3269.0,86.87
20,AUS,Australia,2022-03-29,22202366.0,295848.0,86.1
21,HKG,Hong Kong,2022-03-27,6502770.0,86321.0,86.1
22,CAN,Canada,2022-03-28,32665747.0,545411.0,85.81
23,GGY,Guernsey,2022-03-23,54146.0,1747.0,85.42
24,COK,Cook Islands,2022-03-28,14992.0,812.0,85.32
25,URY,Uruguay,2022-03-29,2972777.0,49499.0,85.3
26,SYC,Seychelles,2022-03-18,84327.0,2401.0,85.26
27,PER,Peru,2022-03-26,28381144.0,389518.0,85.08
28,FRO,Faeroe Islands,2022-02-18,41715.0,1001.0,85.04
29,BRA,Brazil,2022-03-29,181078067.0,1941268.0,84.62
30,CRI,Costa Rica,2022-03-28,4336171.0,87355.0,84.38
31,NRU,Nauru,2022-03-21,9150.0,560.0,84.15
32,ITA,Italy,2022-03-29,50723408.0,665762.0,84.02
33,ISL,Iceland,2022-03-29,309770.0,7546.0,84.0
34,MYS,Malaysia,2022-03-29,27494218.0,550125.0,83.88
35,NZL,New Zealand,2022-03-29,4284293.0,81495.0,83.57
36,DNK,Denmark,2022-03-28,4841445.0,133676.0,83.28
37,ECU,Ecuador,2022-03-26,14836133.0,354692.0,82.94
38,NIC,Nicaragua,2022-03-25,5498389.0,311302.0,82.04
39,ABW,Aruba,2022-03-29,87884.0,2679.0,81.99
40,JEY,Jersey,2022-03-20,82777.0,1233.0,81.9
41,COL,Colombia,2022-03-27,41940039.0,414465.0,81.81
42,IRL,Ireland,2022-03-28,4069002.0,91584.0,81.66
43,TWN,Taiwan,2022-03-29,19449353.0,585216.0,81.53
44,VNM,Vietnam,2022-03-22,79947189.0,1675471.0,81.44
45,IMN,Isle of Man,2022-03-29,69518.0,6039.0,81.39
46,JPN,Japan,2022-03-29,102467506.0,1997542.0,81.29
47,FIN,Finland,2022-03-29,4505614.0,72110.0,81.21
48,TCA,Turks and Caicos Islands,2022-03-25,31419.0,517.0,80.1
49,FRA,France,2022-03-28,53993210.0,733656.0,80.08
50,BEL,Belgium,2022-03-26,9230428.0,154987.0,79.35
51,NOR,Norway,2022-03-28,4331582.0,69111.0,79.25
52,THA,Thailand,2022-03-29,55362342.0,846179.0,79.14
53,LKA,Sri Lanka,2022-03-22,16995787.0,475620.0,79.06
54,KWT,Kuwait,2022-03-24,3410314.0,40778.0,78.79
55,MUS,Mauritius,2022-03-24,1000474.0,20570.0,78.57
56,PAN,Panama,2022-03-25,3434847.0,71750.0,78.39
57,NLD,Netherlands,2022-03-19,13455761.0,271460.0,78.35
58,BMU,Bermuda,2022-03-25,48196.0,1224.0,77.62
59,SMR,San Marino,2022-03-20,26331.0,725.0,77.42
60,GBR,United Kingdom,2022-03-28,52788065.0,970350.0,77.39
61,VEN,Venezuela,2022-03-25,22157232.0,466473.0,77.19
62,SWE,Sweden,2022-03-25,7817094.0,110595.0,76.94
63,USA,United States,2022-03-28,255362450.0,3506960.0,76.91
64,CYP,Cyprus,2022-02-26,687926.0,12513.0,76.78
65,BGD,Bangladesh,2022-03-29,127544055.0,3758404.0,76.69
66,GRC,Greece,2022-03-29,7896367.0,109105.0,76.14
67,DEU,Germany,2022-03-29,63664250.0,1132105.0,75.88
68,LAO,Laos,2022-03-28,5593478.0,146235.0,75.8
69,LUX,Luxembourg,2022-03-26,480279.0,7216.0,75.66
70,FJI,Fiji,2022-03-28,680784.0,14274.0,75.4
71,AUT,Austria,2022-03-25,6812569.0,112586.0,75.33
72,IRN,Iran,2022-03-29,63872818.0,1225502.0,75.12
73,AND,Andorra,2022-03-13,57817.0,1762.0,74.74
74,FLK,Falkland Islands,2021-04-14,2632.0,189.0,74.6
75,NPL,Nepal,2022-03-29,21994736.0,387959.0,74.12
76,SAU,Saudi Arabia,2022-03-23,26167138.0,402957.0,74.04
77,MDV,Maldives,2022-03-12,398348.0,7843.0,73.28
78,MCO,Monaco,2021-12-21,28875.0,313.0,73.06
79,GRL,Greenland,2022-03-07,41243.0,1128.0,72.52
80,LTU,Lithuania,2022-03-29,1948513.0,27613.0,72.44
81,BES,Bonaire Sint Eustatius and Saba,2021-09-01,19109.0,196.0,72.26
82,ISR,Israel,2022-03-29,6702717.0,185461.0,72.14
83,TON,Tonga,2022-02-28,76910.0,2026.0,72.04
84,LVA,Latvia,2022-03-28,1344075.0,17038.0,71.99
85,SHN,Saint Helena,2021-05-05,4361.0,165.0,71.55
86,TKM,Turkmenistan,2021-09-05,4374694.0,41369.0,71.51
87,IDN,Indonesia,2022-03-29,196240871.0,1897011.0,71.01
88,TKL,Tokelau,2021-10-12,968.0,23.0,70.76
89,IND,India,2022-03-29,984838143.0,10037995.0,70.68
90,BHR,Bahrain,2022-03-23,1232740.0,22003.0,70.51
91,SLV,El Salvador,2022-03-24,4582343.0,72435.0,70.3
92,AIA,Anguilla,2022-03-25,10572.0,331.0,69.9
93,LIE,Liechtenstein,2022-03-28,26721.0,726.0,69.85
94,CHE,Switzerland,2022-03-28,6081712.0,92658.0,69.78
95,MNG,Mongolia,2022-03-29,2272363.0,125462.0,68.25
96,TUR,Turkey,2022-03-29,57776278.0,1264431.0,67.94
97,RWA,Rwanda,2022-03-24,8895871.0,318357.0,67.0
98,MAR,Morocco,2022-03-23,24878016.0,401310.0,66.62
99,HUN,Hungary,2022-03-29,6402207.0,125911.0,66.45
100,PYF,French Polynesia,2022-03-28,186250.0,3216.0,65.92
101,MEX,Mexico,2022-03-29,85580293.0,1648223.0,65.7
102,DOM,Dominican Republic,2022-03-29,7184321.0,184208.0,65.59
103,CUW,Curacao,2022-03-29,107539.0,3452.0,65.26
104,NCL,New Caledonia,2022-03-28,188003.0,5037.0,65.23
105,EST,Estonia,2022-03-29,859186.0,10161.0,64.84
106,CZE,Czechia,2022-03-29,6951303.0,98382.0,64.82
107,KIR,Kiribati,2022-03-21,78620.0,1494.0,64.77
108,ATG,Antigua and Barbuda,2022-03-14,63836.0,1278.0,64.66
109,SXM,Sint Maarten (Dutch part),2022-03-25,27974.0,892.0,64.43
110,PHL,Philippines,2022-03-29,70173137.0,1629125.0,63.19
111,CPV,Cape Verde,2022-03-26,354533.0,6701.0,63.1
112,VGB,British Virgin Islands,2022-03-25,19165.0,343.0,63.0
113,OMN,Oman,2022-03-22,3242461.0,61172.0,62.08
114,BLR,Belarus,2022-03-20,5801653.0,77113.0,61.44
115,SVN,Slovenia,2022-03-29,1264649.0,19122.0,60.84
116,BWA,Botswana,2022-03-21,1454775.0,133983.0,60.69
117,TUN,Tunisia,2022-03-21,7171789.0,167388.0,60.09
118,POL,Poland,2022-03-29,22585418.0,341329.0,59.75
119,GUY,Guyana,2022-03-25,471864.0,9303.0,59.7
120,BOL,Bolivia,2022-03-20,7043449.0,107780.0,59.52
121,WLF,Wallis and Futuna,2022-03-28,6483.0,343.0,58.44
122,BLZ,Belize,2022-03-25,236015.0,4569.0,58.29
123,KNA,Saint Kitts and Nevis,2022-02-25,31162.0,894.0,58.2
124,PAK,Pakistan,2022-03-10,128074138.0,2175773.0,56.87
125,HRV,Croatia,2022-03-29,2310786.0,35538.0,56.61
126,BRB,Barbados,2022-03-28,161076.0,4526.0,55.99
127,UZB,Uzbekistan,2022-03-13,18633103.0,426314.0,54.91
128,RUS,Russia,2022-03-29,79954746.0,1020075.0,54.8
129,PRY,Paraguay,2022-03-25,3868131.0,90584.0,53.58
130,HND,Honduras,2022-03-25,5377876.0,156407.0,53.44
131,TTO,Trinidad and Tobago,2022-03-29,746106.0,17908.0,53.17
132,TUV,Tuvalu,2021-10-22,6230.0,240.0,52.24
133,TJK,Tajikistan,2022-03-13,5085230.0,88171.0,52.16
134,TLS,Timor,2022-03-22,700055.0,11248.0,52.09
135,AZE,Azerbaijan,2022-03-29,5322427.0,85991.0,52.06
136,SVK,Slovakia,2022-03-27,2819708.0,35901.0,51.74
137,STP,Sao Tome and Principe,2022-03-24,113027.0,2448.0,50.6
138,KAZ,Kazakhstan,2022-03-29,9451240.0,351158.0,49.76
139,SRB,Serbia,2022-03-22,3347209.0,64449.0,48.71
140,MMR,Myanmar,2022-03-26,26473700.0,366806.0,48.3
141,MNE,Montenegro,2022-03-29,289687.0,11277.0,46.12
142,JOR,Jordan,2022-03-10,4714575.0,87729.0,45.91
143,SUR,Suriname,2022-03-27,267335.0,6238.0,45.17
144,DMA,Dominica,2022-03-25,32403.0,901.0,44.9
145,ALB,Albania,2022-03-24,1278902.0,17565.0,44.52
146,MOZ,Mozambique,2022-03-25,14243939.0,331492.0,44.29
147,EGY,Egypt,2022-03-20,44531740.0,615408.0,42.71
148,ROU,Romania,2022-03-28,8162071.0,131697.0,42.67
149,GTM,Guatemala,2022-03-25,7624143.0,96711.0,41.78
150,BHS,Bahamas,2022-03-25,164961.0,3473.0,41.56
151,MKD,North Macedonia,2022-03-20,852584.0,15497.0,40.94
152,GEO,Georgia,2022-03-29,1600698.0,29680.0,40.22
153,COM,Comoros,2022-03-21,341102.0,5633.0,38.39
154,GRD,Grenada,2022-03-25,43292.0,579.0,38.31
155,PSE,Palestine,2022-03-24,1995873.0,41850.0,38.21
156,MSR,Montserrat,2022-03-25,1897.0,53.0,38.08
157,ARM,Armenia,2022-03-13,1113472.0,17910.0,37.51
158,LBN,Lebanon,2022-03-29,2516012.0,56153.0,37.17
159,VUT,Vanuatu,2022-02-28,114284.0,1977.0,36.34
160,LSO,Lesotho,2022-03-22,782175.0,17261.0,36.23
161,UKR,Ukraine,2022-02-23,15729617.0,255007.0,36.19
162,ZAF,South Africa,2022-03-29,20894155.0,241230.0,34.8
163,SLB,Solomon Islands,2022-03-28,235668.0,2317.0,33.48
164,ZWE,Zimbabwe,2022-03-29,5053114.0,103751.0,33.48
165,AGO,Angola,2022-03-25,11235059.0,183173.0,33.11
166,SWZ,Eswatini,2022-03-20,387509.0,11049.0,33.05
167,MRT,Mauritania,2022-03-24,1553213.0,68628.0,32.53
168,VCT,Saint Vincent and the Grenadines,2022-03-24,36033.0,889.0,32.38
169,LBY,Libya,2022-03-24,2201314.0,23862.0,31.63
170,LCA,Saint Lucia,2022-03-25,58119.0,1912.0,31.52
171,BGR,Bulgaria,2022-03-29,2081276.0,27038.0,30.18
172,UGA,Uganda,2022-03-14,14131307.0,294514.0,29.99
173,BIH,Bosnia and Herzegovina,2022-01-29,943394.0,17247.0,28.91
174,GHA,Ghana,2022-03-17,8793591.0,442283.0,27.71
175,MDA,Moldova,2022-03-29,1083286.0,16176.0,26.92
176,CIV,Cote d'Ivoire,2022-03-27,7111845.0,121105.0,26.29
177,JAM,Jamaica,2022-03-29,780377.0,13772.0,26.24
178,GNB,Guinea-Bissau,2022-03-26,519455.0,17553.0,25.77
179,GIN,Guinea,2022-03-21,3472605.0,172447.0,25.73
180,IRQ,Iraq,2022-03-23,10266670.0,435337.0,24.93
181,BEN,Benin,2022-03-22,2955274.0,60281.0,23.74
182,KGZ,Kyrgyzstan,2022-03-29,1488749.0,22900.0,22.46
183,KEN,Kenya,2022-03-19,11696182.0,245551.0,21.27
184,SLE,Sierra Leone,2022-03-15,1727305.0,32362.0,21.22
185,ETH,Ethiopia,2022-03-27,24486746.0,1389911.0,20.77
186,LBR,Liberia,2022-03-25,1047889.0,39207.0,20.23
187,CAF,Central African Republic,2022-03-25,923553.0,18602.0,18.77
188,TGO,Togo,2022-03-11,1558542.0,37978.0,18.38
189,GNQ,Equatorial Guinea,2022-03-26,262703.0,5013.0,18.12
190,NAM,Namibia,2022-03-25,450833.0,16348.0,17.42
191,DZA,Algeria,2022-03-09,7461932.0,256927.0,16.72
192,ZMB,Zambia,2022-03-29,2829929.0,36338.0,14.96
193,DJI,Djibouti,2022-03-20,145050.0,802.0,14.47
194,GMB,Gambia,2022-03-20,331266.0,3615.0,13.32
195,GAB,Gabon,2022-03-24,297308.0,7131.0,13.05
196,AFG,Afghanistan,2022-03-22,5082824.0,70761.0,12.76
197,SYR,Syria,2022-03-23,2308843.0,90157.0,12.63
198,COG,Congo,2022-03-23,681597.0,7088.0,12.05
199,SOM,Somalia,2022-03-22,1929472.0,34098.0,11.79
200,SDN,Sudan,2022-03-07,5171677.0,159116.0,11.52
201,NGA,Nigeria,2022-03-27,21049754.0,286036.0,9.96
202,BFA,Burkina Faso,2022-03-20,2131880.0,39484.0,9.92
203,NER,Niger,2022-03-24,2180972.0,83433.0,8.68
204,SEN,Senegal,2022-03-15,1457116.0,59008.0,8.47
205,MWI,Malawi,2022-03-13,1570322.0,21351.0,7.99
206,TZA,Tanzania,2022-03-23,3941772.0,36892.0,6.41
207,MLI,Mali,2022-03-25,1331919.0,58966.0,6.39
208,CMR,Cameroon,2022-03-21,1348787.0,47269.0,4.95
209,SSD,South Sudan,2022-03-23,526243.0,10111.0,4.62
210,MDG,Madagascar,2022-03-22,1098703.0,10256.0,3.86
211,PNG,Papua New Guinea,2022-03-28,317150.0,5196.0,3.48
212,YEM,Yemen,2022-03-16,643501.0,10240.0,2.11
213,TCD,Chad,2022-03-18,282003.0,4722.0,1.67
214,HTI,Haiti,2022-03-23,163710.0,5695.0,1.42
215,COD,Democratic Republic of Congo,2022-03-24,853971.0,25961.0,0.92
216,BDI,Burundi,2022-03-18,10372.0,410.0,0.08
